Year,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
2015,0.8181818181818182,0.9090909090909091,0.9431818181818182,0.8636363636363636,0.875,0.8181818181818182,0.7727272727272727,0.7954545454545454,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.8068181818181818,0.8295454545454546,0.7727272727272727,0.7613636363636364,0.7840909090909091,0.9545454545454546
2016,0.8181818181818182,0.8522727272727273,0.8181818181818182,0.875,0.8636363636363636,0.8181818181818182,0.8295454545454546,0.7954545454545454,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7954545454545454,0.7954545454545454,0.7840909090909091,0.7840909090909091,0.9090909090909091
2017,0.8977272727272727,0.9204545454545454,0.9090909090909091,0.8636363636363636,0.8977272727272727,0.7954545454545454,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7954545454545454,0.7727272727272727,0.8068181818181818,0.7954545454545454,0.7840909090909091,0.9545454545454546
2018,0.875,0.8863636363636364,0.8863636363636364,0.875,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7840909090909091,0.7727272727272727,0.8409090909090909,0.75,0.7954545454545454,0.7840909090909091,0.9204545454545454
2019,0.8764044943820225,0.898876404494382,0.898876404494382,0.898876404494382,0.8426966292134831,0.7865168539325843,0.8539325842696629,0.7865168539325843,0.7865168539325843,0.7865168539325843,0.7865168539325843,0.7865168539325843,0.7865168539325843,0.797752808988764,0.8764044943820225,0.7640449438202247,0.797752808988764,0.7865168539325843,0.9213483146067416
